env,algorithm,config,eval_tau,run,mc_mean,mc_stddev,mc_cvar,cvar_regret,optimal_action_hit,catastrophic_count
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=1.000000,tau=0.250000",0.25,1,0.24155247688293457,0.28330798841878252,-0.046945128440856937,0.0046874999999999972,1,11
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=2.000000,tau=0.050000",0.050000000000000003,0,0.10294382095336914,0.13102051444168866,-0.0625,0.015625,0,15
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=2.000000,tau=0.050000",0.050000000000000003,1,0.12223832368850708,0.12316791054375469,-0.0625,0.0078125,1,34
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=2.000000,tau=0.100000",0.10000000000000001,0,0.079695217609405511,0.088886985707116853,-0.053107261657714844,0.0078125,1,9
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=2.000000,tau=0.100000",0.10000000000000001,1,0.11315246582031251,0.14662782361446522,-0.0625,0.0078125,1,36
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=2.000000,tau=0.200000",0.20000000000000001,0,0.099829027652740474,0.14211159788811534,-0.0625,0.0078124999999999957,1,58
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=2.000000,tau=0.200000",0.20000000000000001,1,0.13434882164001466,0.11950907194392862,-0.049921619892120364,0.0078124999999999957,1,22
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=2.000000,tau=0.250000",0.25,0,0.11256206512451172,0.12804808383441096,-0.035733795166015624,0,1,5
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=2.000000,tau=0.250000",0.25,1,0.099920043945312495,0.084824618170956975,-0.025021972656249999,0,1,11
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=4.000000,tau=0.050000",0.050000000000000003,0,0.20261603355407715,0.23373664351151668,-0.0625,0.015625,0,33
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=4.000000,tau=0.050000",0.050000000000000003,1,0.049797687530517581,0.046441748539520836,-0.046227264404296878,0,1,1
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=4.000000,tau=0.100000",0.10000000000000001,0,0.16103249311447143,0.21439282426910988,-0.0625,0.0078125,1,23
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=4.000000,tau=0.100000",0.10000000000000001,1,0.17021713256835938,0.21843339939435227,-0.057235431671142575,0.0078125,1,6
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=4.000000,tau=0.200000",0.20000000000000001,0,0.12880349636077881,0.25097862088648487,-0.049469399452209475,0.0078124999999999957,1,13
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=4.000000,tau=0.200000",0.20000000000000001,1,0.089204711914062498,0.096047433955340419,-0.05120983123779297,0,1,17
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=4.000000,tau=0.250000",0.25,0,0.14769459009170532,0.16398983075795878,-0.030197029113769532,0.0046874999999999972,1,5
bettinggame,CATSO,"atoms=51,optimism=2.000000,p=4.000000,tau=0.250000",0.25,1,0.16051815509796141,0.22723493539944398,-0.055018253326416015,0.0093749999999999944,1,29
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=1.000000,tau=0.050000",0.050000000000000003,0,0.15637224912643433,0.17171985505301582,-0.0625,0.0078125,1,23
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=1.000000,tau=0.050000",0.050000000000000003,1,0.085010812282562256,0.086894939562427137,-0.054864501953124999,0.0078125,1,3
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=1.000000,tau=0.100000",0.10000000000000001,0,0.1459777545928955,0.15127116768162924,-0.058925151824951172,0.0078125,1,12
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=1.000000,tau=0.100000",0.10000000000000001,1,0.20729731917381286,0.26186394553138781,-0.059727668762207031,0.0078125,1,9
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=1.000000,tau=0.200000",0.20000000000000001,0,0.12415503740310668,0.13543551626736375,-0.048139035701751709,0.0078124999999999957,1,12
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=1.000000,tau=0.200000",0.20000000000000001,1,0.11731687307357788,0.14392907805831059,-0.038359904289245607,0.0078124999999999957,1,11
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=1.000000,tau=0.250000",0.25,0,0.20370284318923951,0.24237945413322867,-0.055323343276977542,0.0046874999999999972,1,31
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=1.000000,tau=0.250000",0.25,1,0.1591293716430664,0.16175308501624266,-0.029765548706054686,0,1,6
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=2.000000,tau=0.050000",0.050000000000000003,0,0.11155147552490234,0.14516714576400541,-0.0625,0.015625,0,20
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=2.000000,tau=0.050000",0.050000000000000003,1,0.13684447884559631,0.16045492688577598,-0.062112569808959961,0.0078125,1,8
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=2.000000,tau=0.100000",0.10000000000000001,0,0.052379534244537354,0.052010178435082967,-0.04942498207092285,0.0078125,1,4
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=2.000000,tau=0.100000",0.10000000000000001,1,0.10716827511787415,0.10268487245295489,-0.040780436992645261,0.0078125,1,2
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=2.000000,tau=0.200000",0.20000000000000001,0,0.079971923828124999,0.081343794195879462,-0.046450805664062497,0,1,3
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=2.000000,tau=0.200000",0.20000000000000001,1,0.14310798645019532,0.16428517533517187,-0.053254890441894534,0.0078124999999999957,1,22
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=2.000000,tau=0.250000",0.25,0,0.13027036666870118,0.22562058177704652,-0.03754692077636719,0.0046874999999999972,1,26
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=2.000000,tau=0.250000",0.25,1,0.10952523827552796,0.13114368848170541,-0.054519834518432619,0.0046874999999999972,1,32
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=4.000000,tau=0.050000",0.050000000000000003,0,0.1545812177658081,0.202818920807909,-0.0625,0.015625,0,14
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=4.000000,tau=0.050000",0.050000000000000003,1,0.13898423194885254,0.1315467369862747,-0.062384128570556641,0.015625,0,9
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=4.000000,tau=0.100000",0.10000000000000001,0,0.077491064071655277,0.070882788913508452,-0.046662521362304685,0.015625,0,5
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=4.000000,tau=0.100000",0.10000000000000001,1,0.13402556180953978,0.12534122626836317,-0.054613637924194339,0.015625,0,10
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=4.000000,tau=0.200000",0.20000000000000001,0,0.12199592590332031,0.12137541779908723,-0.057328987121582034,0.015624999999999991,0,34
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=4.000000,tau=0.200000",0.20000000000000001,1,0.16488858699798584,0.17194640102826395,-0.057323765754699704,0.015624999999999991,0,32
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=4.000000,tau=0.250000",0.25,0,0.11131608009338378,0.097839529859145749,-0.013573760986328126,0.0093749999999999944,1,1
bettinggame,CATSO,"atoms=51,optimism=4.000000,p=4.000000,tau=0.250000",0.25,1,0.099565362930297857,0.099076717445123752,-0.033813285827636722,0.0093749999999999944,1,2
